country,year,series_code,indicator,value,source_dataset
Ghana,2015,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-5.711,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),-8.669,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.GGX_NGDP.A,General government expenditure (% of GDP),18.623,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),53.896,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.GGR_NGDP.A,General government revenue (% of GDP),14.616,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.NID_NGDP.A,Gross capital formation (% of GDP),27.71,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),22.893,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),0.423,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.PCPIPCH.A,"Inflation, average CPI (%)",17.153,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",17.692,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.NGDPD.A,Nominal GDP (US$ billions),49.437,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-4.007,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),0.938,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2015,GHA.NGDP_RPCH.A,Real GDP growth (%),2.121,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-5.06,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),5.007,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.GGX_NGDP.A,General government expenditure (% of GDP),19.891,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),55.942,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.GGR_NGDP.A,General government revenue (% of GDP),13.145,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.NID_NGDP.A,Gross capital formation (% of GDP),25.456,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),20.749,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),-2.902,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.PCPIPCH.A,"Inflation, average CPI (%)",17.455,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",15.362,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.NGDPD.A,Nominal GDP (US$ billions),56.144,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-6.746,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-1.496,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2016,GHA.NGDP_RPCH.A,Real GDP growth (%),3.373,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-3.316,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),31.578,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.GGX_NGDP.A,General government expenditure (% of GDP),17.582,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),56.984,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.GGR_NGDP.A,General government revenue (% of GDP),13.616,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.NID_NGDP.A,Gross capital formation (% of GDP),19.566,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),16.848,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),8.03,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.PCPIPCH.A,"Inflation, average CPI (%)",12.372,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",11.821,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.NGDPD.A,Nominal GDP (US$ billions),60.385,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-3.966,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.198,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2017,GHA.NGDP_RPCH.A,Real GDP growth (%),8.129,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-3.037,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),1.241,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.GGX_NGDP.A,General government expenditure (% of GDP),20.895,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),61.976,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.GGR_NGDP.A,General government revenue (% of GDP),14.104,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.NID_NGDP.A,Gross capital formation (% of GDP),21.709,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),19.198,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),8.122,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.PCPIPCH.A,"Inflation, average CPI (%)",9.837,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",9.425,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.NGDPD.A,Nominal GDP (US$ billions),67.259,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-6.791,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-1.351,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2018,GHA.NGDP_RPCH.A,Real GDP growth (%),6.2,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-2.232,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),5.123,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.GGX_NGDP.A,General government expenditure (% of GDP),22.491,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),62.927,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.GGR_NGDP.A,General government revenue (% of GDP),14.971,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.NID_NGDP.A,Gross capital formation (% of GDP),18.647,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),17.389,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),10.527,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.PCPIPCH.A,"Inflation, average CPI (%)",7.208,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",7.896,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.NGDPD.A,Nominal GDP (US$ billions),68.353,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-7.519,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-1.975,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2019,GHA.NGDP_RPCH.A,Real GDP growth (%),6.508,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-2.534,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),-6.368,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.GGX_NGDP.A,General government expenditure (% of GDP),31.511,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),79.089,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.GGR_NGDP.A,General government revenue (% of GDP),14.068,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.NID_NGDP.A,Gross capital formation (% of GDP),18.224,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),16.737,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),-7.325,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.PCPIPCH.A,"Inflation, average CPI (%)",9.918,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",10.473,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.NGDPD.A,Nominal GDP (US$ billions),70.008,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-17.443,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-11.167,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2020,GHA.NGDP_RPCH.A,Real GDP growth (%),0.514,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-2.713,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),-10.307,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.GGX_NGDP.A,General government expenditure (% of GDP),27.214,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),86.875,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.GGR_NGDP.A,General government revenue (% of GDP),15.182,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.NID_NGDP.A,Gross capital formation (% of GDP),17.037,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),15.299,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),13.477,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.PCPIPCH.A,"Inflation, average CPI (%)",9.976,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",12.621,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.NGDPD.A,Nominal GDP (US$ billions),79.514,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-12.032,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-4.771,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2021,GHA.NGDP_RPCH.A,Real GDP growth (%),5.076,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-2.302,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),3.797,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.GGX_NGDP.A,General government expenditure (% of GDP),27.493,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),92.723,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.GGR_NGDP.A,General government revenue (% of GDP),15.733,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.NID_NGDP.A,Gross capital formation (% of GDP),15.522,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),13.681,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),8.861,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.PCPIPCH.A,"Inflation, average CPI (%)",31.921,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",54.143,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.NGDPD.A,Nominal GDP (US$ billions),73.919,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-11.76,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2022,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-4.323,IMF WEO 9.0.0 (via repository WEO.csv)
