country,year,series_code,indicator,value,source_dataset
Ghana,2022,GHA.NGDP_RPCH.A,Real GDP growth (%),3.818,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-1.601,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),-6.058,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.GGX_NGDP.A,General government expenditure (% of GDP),18.536,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),79.092,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.GGR_NGDP.A,General government revenue (% of GDP),15.17,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.NID_NGDP.A,Gross capital formation (% of GDP),9.9,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),8.548,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),-1.097,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.PCPIPCH.A,"Inflation, average CPI (%)",39.21,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",23.189,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.NGDPD.A,Nominal GDP (US$ billions),80.547,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-3.366,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-0.319,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2023,GHA.NGDP_RPCH.A,Real GDP growth (%),3.128,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.BCA_NGDPD.A,Current account balance (% of GDP),1.115,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),2.32,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.GGX_NGDP.A,General government expenditure (% of GDP),23.178,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),70.348,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.GGR_NGDP.A,General government revenue (% of GDP),15.864,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.NID_NGDP.A,Gross capital formation (% of GDP),9.957,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),11.434,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),11.552,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.PCPIPCH.A,"Inflation, average CPI (%)",22.875,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",23.836,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.NGDPD.A,Nominal GDP (US$ billions),82.825,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-7.314,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),-3.305,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2024,GHA.NGDP_RPCH.A,Real GDP growth (%),5.685,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.BCA_NGDPD.A,Current account balance (% of GDP),1.808,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),-2.206,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.GGX_NGDP.A,General government expenditure (% of GDP),18.869,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),59.081,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.GGR_NGDP.A,General government revenue (% of GDP),16.141,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.NID_NGDP.A,Gross capital formation (% of GDP),10.522,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),12.79,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),6.491,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.PCPIPCH.A,"Inflation, average CPI (%)",16.645,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",11.978,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.NGDPD.A,Nominal GDP (US$ billions),111.963,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-2.728,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.453,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2025,GHA.NGDP_RPCH.A,Real GDP growth (%),4.026,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.BCA_NGDPD.A,Current account balance (% of GDP),1.674,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),5.231,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.GGX_NGDP.A,General government expenditure (% of GDP),18.952,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),56.07,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.045,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.NID_NGDP.A,Gross capital formation (% of GDP),12.578,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),14.687,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),6.106,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.PCPIPCH.A,"Inflation, average CPI (%)",9.876,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.NGDPD.A,Nominal GDP (US$ billions),113.494,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-1.906,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.5,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2026,GHA.NGDP_RPCH.A,Real GDP growth (%),4.793,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.BCA_NGDPD.A,Current account balance (% of GDP),0.831,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),0.913,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.GGX_NGDP.A,General government expenditure (% of GDP),18.871,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),53.667,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.168,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.NID_NGDP.A,Gross capital formation (% of GDP),13.62,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),14.833,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),4.063,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.PCPIPCH.A,"Inflation, average CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.NGDPD.A,Nominal GDP (US$ billions),117.237,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-1.703,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.5,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2027,GHA.NGDP_RPCH.A,Real GDP growth (%),4.947,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.BCA_NGDPD.A,Current account balance (% of GDP),0.319,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),4.384,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.GGX_NGDP.A,General government expenditure (% of GDP),19.024,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),51.323,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.1,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.NID_NGDP.A,Gross capital formation (% of GDP),14.582,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),15.264,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),5.083,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.PCPIPCH.A,"Inflation, average CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.NGDPD.A,Nominal GDP (US$ billions),121.933,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-1.924,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.5,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2028,GHA.NGDP_RPCH.A,Real GDP growth (%),4.995,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.BCA_NGDPD.A,Current account balance (% of GDP),0.337,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),8.878,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.GGX_NGDP.A,General government expenditure (% of GDP),19.195,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),49.26,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.1,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.NID_NGDP.A,Gross capital formation (% of GDP),15.64,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),16.348,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),5.257,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.PCPIPCH.A,"Inflation, average CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.NGDPD.A,Nominal GDP (US$ billions),128.129,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-2.095,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.5,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2029,GHA.NGDP_RPCH.A,Real GDP growth (%),5.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-0.076,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),3.356,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGX_NGDP.A,General government expenditure (% of GDP),19.613,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),47.581,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.1,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NID_NGDP.A,Gross capital formation (% of GDP),17.134,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),17.42,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),4.573,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.PCPIPCH.A,"Inflation, average CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGDPD.A,Nominal GDP (US$ billions),135.908,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-2.513,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGDP_RPCH.A,Real GDP growth (%),5.0,IMF WEO 9.0.0 (via repository WEO.csv)
